ID,gender,ever_married,age,graduated,profession,work_experience,spending_score,family_size,product_category,customer_segment
460671,male,yes,35,no,entertainment,8.0,average,4,luxury,truck
462204,female,no,19,no,marketing,1.0,low,3,electric,sedan
461671,male,no,32,no,healthcare,7.0,low,5,sports,suv
459384,male,yes,52,yes,artist,0.0,average,3,sports,hatchback
459905,female,yes,36,yes,artist,5.0,low,2,sports,hatchback
464734,female,no,42,no,entertainment,7.0,low,3,electric,suv
464125,male,yes,40,no,doctor,0.0,average,2,luxury,suv
467434,male,no,39,yes,entertainment,0.0,low,3,economy,truck
460956,female,yes,47,yes,artist,1.0,average,4,luxury,hatchback
465179,female,yes,61,yes,artist,1.0,high,2,sports,hatchback
463338,male,yes,32,no,entertainment,1.0,low,2,luxury,suv
467066,male,yes,55,no,artist,0.0,low,1,sports,truck
459976,female,no,38,yes,artist,0.0,low,1,sports,suv
461334,male,yes,63,yes,artist,0.0,high,2,sports,hatchback
465108,male,yes,58,yes,doctor,1.0,average,2,sports,hatchback
462600,male,yes,30,no,engineer,3.0,average,3,electric,suv
464144,male,yes,60,yes,artist,0.0,average,4,sports,hatchback
466911,male,yes,68,no,executive,1.0,high,7,sports,truck
462806,male,yes,52,no,artist,0.0,low,3,electric,sedan
463426,male,yes,38,no,executive,0.0,high,5,sports,sedan
464065,female,yes,35,yes,healthcare,10.0,low,2,sports,truck
462979,male,no,18,no,doctor,1.0,low,2,sports,suv
462834,male,yes,30,yes,homemaker,3.0,low,2,economy,suv
460764,male,no,86,no,lawyer,1.0,low,1,sports,suv
460185,male,no,25,no,healthcare,9.0,low,3,sports,suv
464406,female,no,39,yes,artist,0.0,low,1,sports,sedan
462059,male,no,47,yes,artist,1.0,low,1,sports,hatchback
467905,male,yes,43,yes,executive,0.0,high,3,sports,suv
461177,male,yes,36,no,executive,8.0,average,4,economy,truck
460765,male,yes,80,no,lawyer,1.0,low,1,sports,suv
465386,male,no,36,yes,artist,0.0,low,2,mid-range,hatchback
462332,female,yes,37,yes,artist,1.0,high,2,commercial,sedan
464481,male,yes,46,yes,executive,0.0,high,3,sports,hatchback
461011,male,yes,55,no,executive,1.0,high,4,luxury,truck
464749,female,yes,47,no,engineer,9.0,average,4,electric,truck
461094,female,no,28,yes,healthcare,1.0,low,3,luxury,suv
462104,male,yes,39,no,entertainment,9.0,low,2,luxury,suv
464524,female,yes,27,no,marketing,1.0,low,2,sports,sedan
461787,male,yes,72,yes,artist,0.0,average,2,sports,hatchback
467857,female,yes,28,yes,engineer,0.0,low,2,sports,sedan
460153,male,no,35,yes,entertainment,8.0,low,5,sports,hatchback
465215,male,yes,39,yes,executive,9.0,high,5,mid-range,sedan
466746,female,yes,69,yes,lawyer,0.0,high,2,sports,hatchback
464857,male,no,18,no,healthcare,6.0,low,4,electric,suv
460723,female,yes,50,yes,engineer,1.0,high,2,electric,truck
459853,male,no,30,no,executive,5.0,low,5,sports,sedan
460410,female,no,39,yes,artist,3.0,low,4,sports,suv
463823,female,no,29,no,marketing,8.0,low,4,sports,suv
462008,female,yes,37,yes,artist,4.0,low,4,hybrid,truck
459750,female,yes,39,yes,engineer,0.0,average,2,sports,sedan
459880,female,yes,48,yes,artist,0.0,average,5,commercial,hatchback
459261,female,no,32,yes,doctor,0.0,low,3,sports,hatchback
465395,female,yes,43,no,engineer,0.0,average,5,electric,truck
461631,male,no,29,no,marketing,8.0,low,5,sports,hatchback
464904,female,yes,28,no,engineer,9.0,average,2,electric,sedan
461740,male,yes,80,yes,lawyer,1.0,low,1,sports,truck
467092,female,no,28,yes,healthcare,7.0,low,4,sports,suv
464173,male,yes,71,yes,artist,6.0,average,3,sports,hatchback
464972,male,yes,67,no,lawyer,0.0,high,9,electric,sedan
467959,female,no,26,no,engineer,0.0,low,1,mid-range,sedan
467688,female,yes,47,yes,engineer,0.0,average,2,sports,hatchback
460043,female,yes,43,yes,artist,2.0,average,2,sports,truck
466590,female,no,27,yes,healthcare,0.0,low,4,sports,hatchback
461191,female,yes,45,yes,marketing,8.0,low,4,sports,suv
465662,male,yes,76,no,executive,1.0,low,1,sports,hatchback
459231,female,yes,43,yes,artist,3.0,average,4,sports,hatchback
466495,female,yes,78,yes,lawyer,1.0,high,2,sports,truck
459192,male,yes,35,yes,artist,3.0,average,3,sports,hatchback
465710,female,no,49,yes,artist,1.0,low,1,sports,hatchback
460258,female,no,25,yes,healthcare,1.0,low,5,sports,suv
462813,male,yes,37,no,executive,0.0,average,5,sports,sedan
467768,male,yes,60,yes,doctor,0.0,average,2,sports,hatchback
465291,female,yes,45,yes,artist,5.0,average,3,sports,hatchback
462996,female,yes,49,yes,homemaker,9.0,average,3,sports,hatchback
463497,male,no,32,yes,artist,0.0,low,5,sports,suv
465301,female,yes,40,yes,artist,0.0,low,3,luxury,truck
464702,male,yes,59,no,artist,2.0,average,2,electric,hatchback
459012,male,yes,48,yes,artist,3.0,low,5,sports,truck
465053,male,yes,82,yes,executive,0.0,high,2,sports,hatchback
459420,female,yes,70,yes,lawyer,0.0,low,2,sports,truck
464166,male,no,31,yes,artist,5.0,low,2,sports,truck
458987,female,yes,72,yes,lawyer,0.0,high,2,sports,hatchback
467745,male,yes,50,yes,artist,3.0,average,4,sports,hatchback
464866,female,no,23,no,engineer,11.0,low,1,luxury,suv
461081,female,no,20,no,healthcare,2.0,low,6,sports,suv
467896,female,no,22,no,healthcare,4.0,low,3,sports,suv
463991,female,no,31,yes,engineer,8.0,low,1,sports,sedan
466620,female,yes,36,yes,artist,7.0,average,2,sports,hatchback
460697,male,yes,40,yes,artist,4.0,average,4,sports,hatchback
467934,female,no,40,yes,artist,1.0,low,1,sports,sedan
467910,female,no,21,no,doctor,1.0,low,3,commercial,sedan
467335,female,yes,41,no,engineer,4.0,average,2,sports,suv
460263,male,yes,40,yes,artist,0.0,low,2,sports,truck
459340,male,yes,53,yes,artist,1.0,average,3,sports,truck
465622,female,yes,42,yes,artist,5.0,low,2,sports,hatchback
459395,male,yes,42,no,executive,8.0,low,2,sports,suv
466574,male,yes,59,yes,artist,7.0,low,2,sports,hatchback
466544,male,yes,41,yes,executive,1.0,average,3,sports,sedan
463610,female,yes,31,yes,artist,0.0,average,2,sports,sedan
465539,female,yes,49,yes,artist,1.0,high,5,sports,truck
459823,male,yes,67,yes,executive,1.0,low,2,sports,sedan
467614,male,yes,35,no,artist,4.0,average,2,sports,truck
459073,female,no,26,yes,healthcare,0.0,low,3,sports,hatchback
464863,female,yes,25,no,engineer,6.0,average,8,electric,suv
460022,female,yes,39,yes,healthcare,4.0,low,2,sports,sedan
459929,male,yes,63,yes,entertainment,0.0,low,2,sports,sedan
466613,male,no,23,no,healthcare,8.0,low,3,sports,suv
461149,female,no,23,no,healthcare,0.0,low,3,luxury,suv
466068,female,yes,53,yes,artist,2.0,low,1,sports,hatchback
461513,male,no,33,yes,doctor,0.0,low,2,sports,truck
466236,female,yes,69,yes,engineer,0.0,low,2,electric,truck
459664,male,no,37,yes,artist,2.0,low,1,sports,truck
461967,female,no,20,no,marketing,3.0,low,4,commercial,hatchback
461710,female,yes,49,yes,doctor,1.0,average,4,sports,hatchback
462742,male,no,18,no,healthcare,0.0,low,3,luxury,suv
459528,female,yes,52,yes,doctor,0.0,average,2,sports,hatchback
467515,male,yes,28,yes,engineer,0.0,average,2,sports,sedan
463429,female,no,28,yes,artist,7.0,low,3,sports,sedan
464024,male,no,20,no,healthcare,0.0,low,5,commercial,suv
460691,female,no,27,no,homemaker,8.0,low,1,luxury,suv
467271,male,yes,45,yes,artist,4.0,average,4,sports,truck
465634,male,no,25,yes,healthcare,1.0,low,4,electric,truck
464801,male,no,40,no,marketing,1.0,low,1,electric,suv
462036,female,yes,67,yes,lawyer,0.0,high,2,sports,truck
460448,female,no,38,yes,artist,9.0,low,1,luxury,sedan
464464,male,no,28,no,healthcare,0.0,low,4,mid-range,hatchback
462410,female,no,32,no,healthcare,1.0,low,5,commercial,truck
459756,female,yes,56,no,lawyer,1.0,high,4,electric,truck
463789,female,yes,53,yes,artist,1.0,low,2,sports,hatchback
466947,male,yes,57,no,executive,1.0,high,5,sports,hatchback
464150,female,yes,59,yes,artist,0.0,average,3,sports,hatchback
465693,female,yes,25,yes,healthcare,1.0,high,4,electric,sedan
461670,male,yes,59,yes,artist,0.0,average,6,sports,hatchback
466768,female,yes,36,yes,artist,0.0,low,4,sports,hatchback
461550,male,yes,37,yes,entertainment,7.0,low,2,sports,sedan
462438,male,no,22,no,doctor,1.0,low,3,mid-range,suv
460704,male,yes,43,yes,artist,1.0,low,2,sports,truck
464884,male,yes,41,yes,artist,1.0,low,2,electric,sedan
467050,female,no,21,no,engineer,0.0,low,5,mid-range,truck
466176,male,no,38,yes,doctor,8.0,low,1,mid-range,truck
467773,male,yes,70,yes,lawyer,1.0,high,3,sports,hatchback
465425,female,no,31,no,engineer,1.0,low,4,sports,truck
462318,female,yes,82,no,lawyer,0.0,average,2,sports,sedan
460197,male,no,38,yes,artist,8.0,low,3,mid-range,sedan
459375,male,yes,18,no,executive,0.0,high,4,sports,sedan
463862,male,yes,50,yes,artist,6.0,average,3,sports,hatchback
462721,female,yes,72,no,lawyer,1.0,high,3,sports,suv
465809,female,no,25,no,homemaker,1.0,low,7,electric,truck
466915,female,yes,75,no,entertainment,2.0,high,2,mid-range,suv
467343,male,no,72,yes,artist,1.0,low,1,sports,truck
466268,female,yes,72,yes,artist,0.0,average,3,electric,hatchback
464868,male,yes,36,yes,entertainment,6.0,low,6,electric,sedan
464038,male,yes,40,yes,artist,1.0,low,2,sports,sedan
460176,female,no,28,yes,entertainment,0.0,low,4,sports,hatchback
462161,female,no,28,yes,doctor,0.0,low,3,sports,suv
464893,male,yes,43,yes,artist,0.0,low,2,electric,truck
464443,female,yes,35,yes,artist,1.0,average,2,sports,truck
467619,male,yes,65,yes,lawyer,1.0,high,2,sports,truck
465974,male,yes,52,yes,executive,7.0,high,4,electric,hatchback
462075,female,no,40,yes,artist,1.0,low,1,sports,truck
459494,female,yes,69,no,engineer,9.0,low,3,sports,sedan
466921,female,no,22,no,healthcare,3.0,low,3,sports,suv
463544,male,yes,47,yes,executive,1.0,average,4,sports,hatchback
461167,male,yes,29,yes,marketing,1.0,high,2,luxury,sedan
467364,male,yes,46,yes,artist,1.0,average,3,luxury,hatchback
462408,male,no,32,yes,artist,1.0,low,2,sports,sedan
466224,female,no,38,yes,healthcare,0.0,low,1,mid-range,hatchback
465151,male,yes,59,yes,artist,0.0,low,1,sports,truck
467216,female,no,26,yes,entertainment,1.0,low,1,sports,suv
460586,male,no,26,yes,healthcare,1.0,low,2,luxury,sedan
461197,male,no,28,no,marketing,0.0,low,1,luxury,suv
462776,female,yes,53,yes,engineer,1.0,average,3,sports,hatchback
464088,male,no,27,no,doctor,1.0,low,3,sports,suv
464695,male,no,26,no,engineer,0.0,low,4,electric,suv
462331,female,no,31,no,entertainment,0.0,low,2,sports,suv
466523,male,yes,39,yes,executive,1.0,high,3,luxury,truck
465337,female,yes,43,no,engineer,1.0,low,3,commercial,sedan
460834,male,yes,25,no,doctor,1.0,low,2,economy,sedan
466824,male,yes,40,yes,artist,3.0,high,3,sports,sedan
461607,female,yes,40,yes,entertainment,7.0,average,2,luxury,truck
466999,male,no,27,yes,healthcare,1.0,low,3,sports,suv
466597,female,no,19,no,healthcare,1.0,low,2,sports,suv
464075,female,yes,86,yes,lawyer,0.0,high,2,sports,truck
462163,female,yes,27,yes,artist,4.0,average,2,luxury,hatchback
463895,female,yes,70,no,doctor,0.0,average,2,sports,truck
464767,female,yes,53,no,engineer,8.0,average,4,electric,truck
463738,male,yes,43,no,executive,0.0,high,4,sports,sedan
465967,male,yes,36,no,doctor,6.0,low,3,sports,sedan
462260,male,yes,74,yes,lawyer,0.0,low,2,sports,hatchback
467234,female,no,30,no,homemaker,0.0,low,4,sports,suv
466573,female,no,37,yes,artist,5.0,low,2,sports,truck
463229,female,no,22,no,marketing,0.0,low,1,hybrid,truck
459768,male,no,19,no,healthcare,0.0,low,4,sports,suv
462541,male,yes,70,yes,engineer,4.0,high,2,sports,truck
467714,male,yes,89,yes,lawyer,13.0,low,1,sports,sedan
459474,male,no,25,yes,doctor,6.0,low,1,mid-range,suv
460093,female,no,45,yes,artist,4.0,low,1,luxury,sedan
467865,female,no,35,yes,artist,3.0,low,1,electric,sedan
465758,female,yes,37,no,engineer,7.0,low,1,electric,suv
464184,female,yes,39,no,engineer,4.0,average,2,sports,truck
462618,female,no,32,yes,healthcare,1.0,low,5,electric,suv
464226,female,yes,62,yes,artist,2.0,average,3,sports,hatchback
465432,female,yes,58,yes,engineer,0.0,average,4,electric,truck
466627,male,no,25,no,healthcare,0.0,low,5,sports,hatchback
467380,female,yes,56,yes,artist,0.0,average,4,sports,hatchback
465842,female,no,36,yes,entertainment,10.0,low,2,sports,sedan
464622,female,no,30,no,healthcare,8.0,low,3,sports,sedan
462083,male,no,19,no,healthcare,1.0,low,5,sports,suv
460910,male,no,27,yes,healthcare,0.0,low,2,sports,sedan
460255,female,no,38,yes,doctor,14.0,low,1,sports,sedan
460109,male,yes,46,yes,artist,8.0,average,2,sports,hatchback
464306,male,no,29,yes,artist,3.0,low,1,sports,truck
466835,male,yes,51,no,entertainment,1.0,average,4,commercial,truck
465192,male,yes,55,no,artist,0.0,low,1,sports,sedan
463380,female,yes,69,yes,engineer,1.0,low,1,luxury,sedan
462391,female,no,26,no,healthcare,1.0,low,8,commercial,hatchback
467086,female,yes,83,yes,lawyer,0.0,low,3,sports,sedan
460306,female,no,39,yes,healthcare,9.0,low,1,sports,suv
460752,male,yes,35,yes,artist,9.0,low,1,sports,sedan
467264,male,yes,19,no,marketing,2.0,high,5,sports,hatchback
466258,female,no,29,no,healthcare,1.0,low,3,sports,truck
463719,female,no,26,no,doctor,0.0,low,1,sports,suv
460032,male,no,36,yes,engineer,8.0,low,1,sports,sedan
465175,female,no,22,no,homemaker,0.0,low,4,sports,suv
466610,male,no,19,no,marketing,0.0,low,5,sports,sedan
459036,female,yes,20,yes,lawyer,1.0,average,3,luxury,sedan
464047,male,no,43,yes,healthcare,3.0,low,3,sports,suv
459997,male,no,43,yes,entertainment,1.0,low,2,electric,sedan
463382,female,yes,50,yes,engineer,4.0,high,3,sports,truck
460967,male,no,25,yes,entertainment,1.0,low,2,sports,sedan
465094,male,yes,61,no,artist,1.0,high,2,sports,truck
461229,female,yes,28,yes,healthcare,0.0,average,2,sports,sedan
466442,male,no,38,yes,artist,1.0,low,1,sports,suv
464527,male,no,25,no,executive,12.0,low,3,sports,sedan
463560,female,no,18,no,healthcare,9.0,low,5,electric,suv
460011,male,yes,43,yes,entertainment,1.0,average,5,hybrid,hatchback
467207,female,no,27,yes,artist,8.0,low,1,sports,truck
465177,female,no,60,yes,entertainment,1.0,low,2,sports,suv
467531,male,yes,75,yes,lawyer,2.0,low,1,sports,suv
462842,male,no,23,no,doctor,6.0,low,4,mid-range,suv
462124,male,no,36,yes,artist,8.0,low,1,sports,sedan
466265,male,no,30,no,doctor,1.0,low,1,luxury,hatchback
459789,male,yes,56,no,artist,1.0,average,2,sports,hatchback
464223,female,yes,52,yes,artist,2.0,low,2,sports,hatchback
460280,male,yes,39,yes,entertainment,0.0,low,1,sports,suv
460331,female,no,35,no,artist,5.0,low,1,sports,sedan
461494,male,yes,33,no,engineer,0.0,average,2,sports,truck
460035,female,no,25,yes,artist,0.0,low,6,sports,sedan
463812,female,yes,27,yes,artist,0.0,average,2,electric,truck
465569,male,yes,35,yes,artist,1.0,high,3,sports,sedan
466333,female,yes,41,yes,artist,1.0,average,2,sports,hatchback
462723,female,yes,46,no,artist,8.0,average,2,sports,truck
462404,female,no,26,yes,artist,9.0,low,1,sports,sedan
461799,male,yes,43,yes,doctor,13.0,high,2,sports,truck
459933,female,yes,30,yes,artist,8.0,low,4,sports,sedan
463717,female,yes,70,yes,artist,1.0,average,4,sports,hatchback
462149,female,yes,89,no,lawyer,3.0,high,1,sports,suv
462769,female,yes,42,no,homemaker,6.0,high,4,sports,truck
465532,female,yes,37,yes,entertainment,6.0,average,3,electric,sedan
462829,male,yes,29,no,executive,1.0,average,3,sports,suv
459210,female,yes,68,yes,artist,1.0,high,2,sports,hatchback
464659,female,no,25,no,engineer,1.0,low,1,electric,suv
467759,female,yes,48,yes,doctor,0.0,low,2,sports,hatchback
461475,female,yes,51,yes,doctor,1.0,average,3,economy,hatchback
462714,female,yes,40,yes,engineer,1.0,high,5,mid-range,truck
466890,male,yes,47,yes,artist,0.0,average,6,commercial,truck
467479,male,yes,35,yes,executive,1.0,average,4,sports,hatchback
466799,female,no,19,no,healthcare,2.0,low,3,sports,suv
460873,male,yes,46,yes,entertainment,0.0,average,3,electric,truck
466776,male,yes,86,yes,lawyer,0.0,low,1,sports,truck
459462,male,yes,66,yes,artist,0.0,high,2,sports,truck
465727,male,no,42,no,marketing,1.0,low,5,electric,suv
462348,female,yes,73,yes,lawyer,1.0,high,2,sports,truck
460941,male,yes,72,no,engineer,1.0,low,1,sports,sedan
461629,male,yes,53,yes,artist,0.0,low,3,sports,truck
459907,female,yes,39,yes,artist,8.0,average,2,sports,hatchback
467146,female,no,27,no,homemaker,9.0,low,1,sports,suv
459196,female,no,23,no,healthcare,1.0,low,3,electric,suv
465444,female,no,30,yes,entertainment,0.0,low,4,sports,truck
464186,female,yes,39,yes,artist,5.0,average,2,sports,hatchback
466412,male,yes,26,yes,artist,1.0,average,3,sports,truck
459480,female,yes,50,yes,entertainment,7.0,low,3,sports,sedan
467880,female,yes,45,yes,artist,1.0,average,2,sports,hatchback
460216,female,no,62,no,entertainment,2.0,low,1,sports,sedan
467941,female,no,27,yes,doctor,1.0,low,3,sports,sedan
462572,female,yes,30,no,engineer,1.0,average,7,electric,sedan
467443,male,no,32,no,healthcare,7.0,low,4,luxury,sedan
459701,male,no,47,no,artist,3.0,low,3,hybrid,truck
461139,female,no,32,yes,artist,4.0,low,4,mid-range,sedan
461115,female,yes,32,no,engineer,5.0,low,3,economy,sedan
459027,male,yes,67,yes,doctor,1.0,average,4,sports,truck
467340,female,yes,77,yes,lawyer,0.0,high,2,sports,hatchback
460857,male,no,31,no,entertainment,1.0,low,1,electric,sedan
464300,male,yes,42,yes,artist,0.0,low,3,electric,sedan
463287,male,yes,50,yes,artist,1.0,average,4,mid-range,hatchback
461392,male,yes,71,yes,artist,0.0,average,5,sports,hatchback
461546,female,yes,72,no,lawyer,1.0,low,3,sports,sedan
462130,male,yes,45,yes,artist,9.0,average,2,sports,hatchback
464684,female,no,40,no,engineer,9.0,low,5,electric,sedan
462276,female,no,36,yes,engineer,4.0,low,1,sports,sedan
462417,male,no,30,no,healthcare,4.0,low,4,sports,suv
466463,female,no,29,yes,healthcare,2.0,low,4,electric,truck
464736,male,no,28,yes,engineer,0.0,low,5,electric,suv
463855,female,yes,40,yes,artist,1.0,average,2,sports,hatchback
460344,female,yes,52,yes,artist,14.0,average,2,sports,hatchback
460139,male,no,26,no,artist,6.0,low,6,hybrid,suv
464126,female,no,55,yes,marketing,3.0,low,1,sports,truck
461286,female,no,20,no,doctor,4.0,low,4,sports,suv
461621,female,yes,87,yes,lawyer,0.0,high,2,sports,hatchback
460163,male,no,28,no,healthcare,0.0,low,2,electric,sedan
461958,male,no,38,no,artist,2.0,low,2,luxury,sedan
464875,male,yes,42,no,entertainment,1.0,low,2,electric,truck
464791,male,yes,42,no,marketing,0.0,high,6,electric,sedan
464579,female,no,29,no,engineer,1.0,low,4,sports,suv
463531,male,no,32,yes,doctor,0.0,low,4,sports,sedan
465486,female,yes,59,no,artist,1.0,high,2,sports,hatchback
460882,male,no,22,no,healthcare,0.0,low,2,luxury,suv
461298,female,yes,78,yes,artist,1.0,high,2,sports,hatchback
461595,female,no,32,yes,healthcare,0.0,low,3,electric,sedan
459260,male,yes,37,yes,artist,0.0,average,4,commercial,hatchback
462772,male,yes,37,yes,healthcare,1.0,high,4,sports,truck
459143,male,yes,47,no,artist,0.0,high,4,sports,truck
464532,female,yes,68,yes,lawyer,0.0,high,2,sports,sedan
460056,male,no,30,yes,healthcare,3.0,low,5,economy,hatchback
466761,female,yes,48,yes,entertainment,2.0,low,1,economy,sedan
465469,female,no,43,yes,artist,6.0,low,1,sports,hatchback
461886,male,yes,33,yes,healthcare,9.0,low,2,sports,suv
465680,male,yes,31,no,healthcare,0.0,average,5,electric,suv
459316,male,yes,32,yes,healthcare,1.0,low,2,sports,suv
465609,female,no,21,no,healthcare,1.0,low,4,mid-range,suv
467009,female,no,29,no,homemaker,2.0,low,4,luxury,suv
461766,female,yes,35,yes,artist,1.0,low,2,electric,sedan
464938,male,yes,46,no,artist,0.0,low,3,electric,sedan
462034,female,yes,38,yes,artist,9.0,high,2,mid-range,truck
464049,female,no,32,yes,healthcare,1.0,low,3,sports,hatchback
467925,female,no,28,yes,artist,3.0,low,7,mid-range,sedan
463711,female,yes,68,yes,lawyer,3.0,low,1,sports,sedan
463846,female,yes,45,yes,artist,4.0,low,1,sports,hatchback
462064,male,yes,58,yes,artist,0.0,average,3,commercial,hatchback
463249,male,no,28,no,entertainment,1.0,low,2,commercial,sedan
464217,female,no,32,no,healthcare,12.0,low,3,sports,sedan
463378,male,no,30,yes,doctor,1.0,low,1,luxury,truck
463035,female,yes,42,no,homemaker,3.0,average,4,sports,suv
465309,female,no,18,no,healthcare,6.0,low,4,commercial,suv
462688,female,yes,29,yes,healthcare,8.0,low,3,luxury,suv
459255,female,no,33,yes,healthcare,0.0,low,3,sports,sedan
467492,female,yes,57,yes,doctor,1.0,low,2,commercial,sedan
460789,male,yes,36,yes,executive,1.0,low,3,sports,suv
467307,male,yes,57,yes,executive,1.0,high,3,sports,hatchback
464026,male,no,18,no,healthcare,1.0,low,2,sports,suv
462493,male,yes,52,yes,artist,1.0,average,6,sports,hatchback
460452,female,yes,37,yes,entertainment,0.0,average,2,economy,truck
459322,male,no,36,yes,marketing,0.0,low,1,sports,sedan
464066,female,no,29,yes,healthcare,9.0,low,3,electric,sedan
461114,male,yes,45,yes,artist,1.0,average,4,luxury,hatchback
465165,male,no,61,yes,artist,0.0,low,1,sports,truck
464526,male,yes,52,yes,entertainment,1.0,average,4,sports,sedan
460666,female,yes,49,yes,homemaker,14.0,low,1,sports,sedan
464096,female,no,31,no,healthcare,1.0,low,5,electric,hatchback
464891,male,yes,42,no,entertainment,1.0,low,3,electric,sedan
460107,male,yes,51,yes,engineer,1.0,average,5,sports,hatchback
467708,female,no,42,yes,healthcare,8.0,low,1,commercial,suv
461873,male,no,29,yes,doctor,1.0,low,4,sports,hatchback
465181,female,no,33,yes,healthcare,8.0,low,1,electric,sedan
467320,female,no,21,no,healthcare,0.0,low,4,mid-range,suv
459468,male,yes,35,no,artist,9.0,average,3,sports,truck
467316,female,no,42,yes,doctor,0.0,low,1,sports,sedan
466182,female,no,41,yes,artist,2.0,low,1,sports,hatchback
463757,male,no,39,yes,artist,0.0,low,3,sports,truck
462314,female,no,28,no,doctor,14.0,low,1,sports,sedan
466652,female,yes,61,yes,doctor,1.0,average,2,sports,truck
461664,male,yes,62,yes,artist,0.0,average,4,sports,hatchback
464105,male,yes,65,yes,entertainment,1.0,average,2,sports,hatchback
466790,male,yes,45,yes,doctor,1.0,average,2,luxury,sedan
463844,female,yes,26,yes,engineer,9.0,low,2,sports,truck
462913,female,no,25,yes,artist,4.0,low,5,sports,hatchback
